jugador,equipo,posicion,valor_actual_mercado,fecha_de_contratacion,expiracion_de_contrato
Thibaut Courtois,real madrid,Goalkeeper,45,"Aug 9, 2018","Jun 30, 2026"
Kepa Arrizabalaga,real madrid,Goalkeeper,18,"Aug 14, 2023","Jun 30, 2024"
Andriy Lunin,real madrid,Goalkeeper,5,"Jul 1, 2018","Jun 30, 2025"
der Militão,real madrid,Centre-Back,70,"Jul 1, 2019","Jun 30, 2025"
David Alaba,real madrid,Centre-Back,40,"Jul 1, 2021","Jun 30, 2026"
Antonio Rüdiger,real madrid,Centre-Back,32,"Jul 1, 2022","Jun 30, 2026"
Nacho Fernández,real madrid,Centre-Back,5,"Sep 1, 2012","Jun 30, 2024"
Ferland Mendy,real madrid,Left-Back,20,"Jul 1, 2019","Jun 30, 2025"
Fran García,real madrid,Left-Back,15,"Jul 1, 2023","Jun 30, 2027"
Daniel Carvajal,real madrid,Right-Back,12,"Jul 1, 2013","Jun 30, 2025"
Lucas Vázquez,real madrid,Right-Back,6,"Jul 2, 2015","Jun 30, 2024"
Aurélien Tchouaméni,real madrid,Defensive Midfield,90,"Jul 1, 2022","Jun 30, 2028"
Federico Valverde,real madrid,Central Midfield,100,"Jul 1, 2018","Jun 30, 2029"
Eduardo Camavinga,real madrid,Central Midfield,90,"Aug 31, 2021","Jun 30, 2029"
Toni Kroos,real madrid,Central Midfield,15,"Jul 17, 2014","Jun 30, 2024"
Dani Ceballos,real madrid,Central Midfield,12,"Jul 14, 2017","Jun 30, 2027"
Luka Modric,real madrid,Central Midfield,10,"Aug 27, 2012","Jun 30, 2024"
Jude Bellingham,real madrid,Attacking Midfield,150,"Jul 1, 2023","Jun 30, 2029"
Brahim Díaz,real madrid,Attacking Midfield,20,"Jan 6, 2019","Jun 30, 2027"
Arda Güler,real madrid,Attacking Midfield,15,"Jul 6, 2023","Jun 30, 2029"
Nico Paz,real madrid,Attacking Midfield,5,"Jul 1, 2023","Jun 30, 2027"
Vinicius Junior,real madrid,Left Winger,150,"Jul 12, 2018","Jun 30, 2027"
Rodrygo,real madrid,Right Winger,100,"Jul 1, 2019","Jun 30, 2028"
Joselu,real madrid,Centre-Forward,6,"Jul 1, 2023","Jun 30, 2024"